Dataset,Model,F1
BF_CTU_df_pca,lr,0.81
BF_CTU_df_pca,rf,0.77
BF_CTU_df_pca,svm,0.81
BF_CTU_df_pca,xgboost,0.72
BF_OU_df_pca,lr,0.81
BF_OU_df_pca,rf,0.77
BF_OU_df_pca,svm,0.81
BF_OU_df_pca,xgboost,0.72
BF_V_df_pca,lr,0.81
BF_V_df_pca,rf,0.77
BF_V_df_pca,svm,0.81
BF_V_df_pca,xgboost,0.72
DT_CC_df_pca,lr,0.81
DT_CC_df_pca,rf,0.77
DT_CC_df_pca,svm,0.81
DT_CC_df_pca,xgboost,0.72
DT_JI_df_pca,lr,0.81
DT_JI_df_pca,rf,0.77
DT_JI_df_pca,svm,0.81
DT_JI_df_pca,xgboost,0.72
IADQ_df_pca,lr,0.81
IADQ_df_pca,rf,0.77
IADQ_df_pca,svm,0.81
IADQ_df_pca,xgboost,0.72
IESR_df_pca,lr,0.81
IESR_df_pca,rf,0.77
IESR_df_pca,svm,0.81
IESR_df_pca,xgboost,0.72
NAQR_df_pca,lr,0.81
NAQR_df_pca,rf,0.77
NAQR_df_pca,svm,0.81
NAQR_df_pca,xgboost,0.72
PCL5_df_pca,lr,0.81
PCL5_df_pca,rf,0.77
PCL5_df_pca,svm,0.81
PCL5_df_pca,xgboost,0.72
PHQ9_df_pca,lr,0.81
PHQ9_df_pca,rf,0.77
PHQ9_df_pca,svm,0.81
PHQ9_df_pca,xgboost,0.72
PID5_df_pca,lr,0.81
PID5_df_pca,rf,0.77
PID5_df_pca,svm,0.81
PID5_df_pca,xgboost,0.72
PRFQ_df_pca,lr,0.81
PRFQ_df_pca,rf,0.77
PRFQ_df_pca,svm,0.81
PRFQ_df_pca,xgboost,0.72
PRMQ_df_pca,lr,0.81
PRMQ_df_pca,rf,0.77
PRMQ_df_pca,svm,0.81
PRMQ_df_pca,xgboost,0.72
DDDT_df_pca,lr,0.81
DDDT_df_pca,rf,0.77
DDDT_df_pca,svm,0.81
DDDT_df_pca,xgboost,0.72
SPID5_df_pca,lr,0.81
SPID5_df_pca,rf,0.77
SPID5_df_pca,svm,0.81
SPID5_df_pca,xgboost,0.72
RNEOPI_df_pca,lr,0.81
RNEOPI_df_pca,rf,0.77
RNEOPI_df_pca,svm,0.81
RNEOPI_df_pca,xgboost,0.72
