Dataset,Model,F1
BF_CTU_df_spca,lr,0.81
BF_CTU_df_spca,rf,0.8
BF_CTU_df_spca,svm,0.81
BF_CTU_df_spca,xgboost,0.78
BF_OU_df_spca,lr,0.81
BF_OU_df_spca,rf,0.8
BF_OU_df_spca,svm,0.8
BF_OU_df_spca,xgboost,0.78
BF_V_df_spca,lr,0.82
BF_V_df_spca,rf,0.81
BF_V_df_spca,svm,0.82
BF_V_df_spca,xgboost,0.81
DT_CC_df_spca,lr,0.73
DT_CC_df_spca,rf,0.77
DT_CC_df_spca,svm,0.75
DT_CC_df_spca,xgboost,0.75
DT_JI_df_spca,lr,0.64
DT_JI_df_spca,rf,0.56
DT_JI_df_spca,svm,0.66
DT_JI_df_spca,xgboost,0.6
IADQ_df_spca,lr,0.83
IADQ_df_spca,rf,0.81
IADQ_df_spca,svm,0.83
IADQ_df_spca,xgboost,0.81
IESR_df_spca,lr,0.94
IESR_df_spca,rf,0.95
IESR_df_spca,svm,0.94
IESR_df_spca,xgboost,0.93
NAQR_df_spca,lr,0.94
NAQR_df_spca,rf,0.93
NAQR_df_spca,svm,0.96
NAQR_df_spca,xgboost,0.91
PCL5_df_spca,lr,0.82
PCL5_df_spca,rf,0.84
PCL5_df_spca,svm,0.86
PCL5_df_spca,xgboost,0.84
PHQ9_df_spca,lr,0.98
PHQ9_df_spca,rf,0.98
PHQ9_df_spca,svm,0.99
PHQ9_df_spca,xgboost,0.98
PID5_df_spca,lr,0.95
PID5_df_spca,rf,0.96
PID5_df_spca,svm,0.95
PID5_df_spca,xgboost,0.95
PRFQ_df_spca,lr,0.91
PRFQ_df_spca,rf,0.89
PRFQ_df_spca,svm,0.91
PRFQ_df_spca,xgboost,0.89
PRMQ_df_spca,lr,0.89
PRMQ_df_spca,rf,0.9
PRMQ_df_spca,svm,0.9
PRMQ_df_spca,xgboost,0.9
DDDT_df_spca,lr,0.74
DDDT_df_spca,rf,0.73
DDDT_df_spca,svm,0.75
DDDT_df_spca,xgboost,0.69
SPID5_df_spca,lr,0.96
SPID5_df_spca,rf,0.96
SPID5_df_spca,svm,0.96
SPID5_df_spca,xgboost,0.96
